SKU,Description,CP,SP,Color,Quantity,Size
LM00391,Silicone Cutlery Set,1985,3499,"Brown, Blue, Yellow",3,
LM00097,Old Barcode,,,"Green (2), Purple, Blue (2). Pink (3)",8,
LM00397,Only Vegie Teether,172,299,"Strawberry, Eggplant",2,
LM00411,Bear Jogger,1920,2999,Pink,5,23-27
LM00415,Tobacco Boot,1760,2999,Black,4,22-25
LM00434,Bee Socks and Cap Set,570,1099,"Purple 4, Pink 4, Yellow 4",12,3+ M
LM00117,Lion - Kolaco Headrest + Blanket,1250,2499,Bear,3,
LM00450,Baby Woolen Shoes,420,799,Pink,6,
LM00475,Shoulder Bag Rein Elephant,1710,3299,Purple,1,
LM00477,Shoulder Bag Forest,1820,3299,Blue,1,
LM00333,My Choice Baby Romper,750,1499,"Pink 2, Green 2, Peach 2",6,
LM00094,Super Baby Feeder Brush Set 2 Pcs,300,599,Yellow,1,
LM00484,Lollypop Baby Winter Starter Set 9Pcs,1150,1999,1 White,1,
LM00310,Happy Mums Baby Starter Set 8Pcs,900,1799,3 black,3,
LM00328,Hello Fleece Hooded Body Suit,500,999,Blue,4,
LM00488,YBW Baby Fleece Suit - Croc,930,1999,"Blue (2 66/48, 2 59/44)",4,
LM00118,Bebe Memory 2 Ply Blanket,1400,2799,2 blue,2,
LM00356,Next Kids 2 Pcs Thermal Warmer Suit,475,899,Red Blue Black White,72,
LM00492,DKNY Pack of 4 Socks,600,1199,"Grey 2, Brown 2, white 2, Green 2, Pink 4, Blue 2, Black 6",20,0-6M
LM00493,Baby Play Hair Brush ,210,399,"Pink 2, Purple 2, Orange 2, Blue 2",8,
LM00494,Baby Bear Fleece Cap,275,599,"Red 4, Pink 4, Brown 4, Beige 4, Sky Blue 4, Dark Blue 4",24,6-12 M
LM00316,Baby Winter Button Cap For New Born,220,499,"Blue 8, Red 8, Brown 8, Sky Blue 8, Beige 8, Black 8",48,6-12 M
LM00451,Xing Baby Pom Pom Cap,230,499,"Grey 4, Pink 4, Brown 4, Yellow 4, Red 4, Blue 4",24,6-12 M
LM00433,Bow Headband Pack of 4,570,1099,"D1 Pink (2), D2 Beige (4), D3 Blue(1), D4 White (3), D5 Sky Blue (1)",12,
LM00317,Hana Baby Winter Fleece Cap For New Born,250,499,"4 Brown, 4 Red, $ Blue, 4 Blue, 4 Black, 3 Grey",23,
LM00497,"Dragon Cap, wool",300,599,"1 BRown, 6 Grey, 11 Red",18,6-12M
